client_id,plan_type,annual_recurring_revenue_inr,,renewal_date,usage_score,support_tickets_90d,payment_delay_days,health_score,renewal_outcome,churn_reason,renewed_arr_inr
CB-1004,Enterprise,492892,,2025-09-27,55.3,5,0,46.4,Renewed,,498024
CB-1008,Growth,148960,,2025-11-11,91.3,1,2,72.2,Renewed,,145812
CB-1010,Growth,148520,,2026-06-21,46.7,2,2,45.9,Churned,Price increase at renewal,
CB-1015,Starter,68846,,2026-02-24,78.3,2,10,58.5,Churned,Company downsized or shut down,
CB-1017,Starter,53470,,2025-08-10,65.6,2,5,54.5,Renewed,,52377
CB-1021,Starter,55243,,2026-06-09,46.4,2,1,46.3,Renewed ,,68064
CB-1025,Starter,56975,,2026-01-24,78.6,6,13,49.7,Renewed,,59633
CB-1027,Growth,224639,,2025-07-03,54.9,2,1,51,Renewed,,222389
CB-1028,Growth,176044,,2025-12-12,70.9,3,2,57.4,Renewed,,184143
CB-1032,Starter,73151,,2026-05-18,58.9,1,2,54.4,Renewed ,,92401
CB-1033,Enterprise,562250,,2026-06-20,77.3,3,0,62.1,Renewed,,570463
CB-1035,Starter,80445,,2026-01-18,69.5,5,1,53.6,Renewed,,79284
CB-1036,Starter,61572,,2025-11-13,69.9,2,2,58.6,Renewed,,62939
CB-1038,Starter,56538,,2026-02-24,84.5,2,6,64.3,Churned,Poor onboarding experience,
CB-1043,Growth,125597,,2026-05-07,71.0,2,8,55.7,Renewed,,130738
CB-1047,Growth,191630,,2026-04-18,57.7,4,10,43.5,At Risk ,,
CB-1049,Starter,66911,,2025-11-25,67.4,5,3,51.2,Renewed,,67562
CB-1050,Starter,59061,,2026-01-29,74.2,4,4,56.2,Renewed,,60005
CB-1051,Starter,73369,,2025-03-16,77.5,7,9,49.6,Renewed,,73483
CB-1058,Starter,72733,,2025-11-25,49.0,1,1,49.6,Renewed,,73411
CB-1059,Starter,39946,,2025-10-25,56.2,3,0,50.5,Renewed,,40608
CB-1067,Growth,227505,,2026-05-01,65.4,6,1,49.6,Renewed,,232900
CB-1068,Starter,67174,,2025-06-03,71.5,6,3,51.7,Renewed,,68860
CB-1070,Growth,145741,,2026-02-12,66.1,6,3,48.7,Churned,Poor onboarding experience,
CB-1073,Starter,49110,,2026-03-02,45.3,4,3,40.9,Renewed,,49249
CB-1074,Growth,226526,,2025-07-31,62.6,4,0,52.2,Renewed,,224660
CB-1075,Growth,219945,,2026-04-12,77.8,3,0,62.4,At Risk ,,
CB-1076,Enterprise,360933,,2026-04-22,58.9,3,1,51.4,Renewed,,374285
CB-1083,Starter,62277,,2025-12-26,57.0,8,6,38.4,Renewed,,63774
CB-1084,Enterprise,556688,,2025-05-12,76.8,4,2,58.8,Renewed,,551555
CB-1085,Growth,185821,,2025-09-21,70.0,1,2,60.5,Renewed ,,235147
CB-1088,Starter,55007,,2025-12-20,66.3,3,12,48.8,Churned,Lack of key feature (AI/automation),
CB-1090,Growth,213032,,2025-12-10,63.9,5,4,48.7,Renewed,,219100
CB-1093,Enterprise,561274,,2026-06-28,78.1,1,0,66.1,Renewed,,571230
CB-1094,Starter,54238,,2026-04-29,56.3,3,8,45.8,Churned,Lack of key feature (AI/automation),
CB-1096,Enterprise,533787,,2026-06-14,64.5,5,1,50.9,Renewed,,529324
CB-1097,Starter,76249,,2025-09-18,100.0,0,14,71.6,Renewed,,75239
CB-1098,Enterprise,492907,,2025-10-29,71.5,1,8,57.7,Renewed,,510259
CB-1102,Starter,70474,,2026-03-30,82.0,7,0,57.5,Renewed,,70674
CB-1107,Growth,135416,,2026-04-05,60.2,1,2,55.1,Renewed ,,154176
CB-1108,Starter,68131,,2025-09-30,67.6,2,3,56.8,Renewed,,69076
CB-1111,Starter,58744,,2026-01-31,53.5,0,6,50.8,Renewed ,,79008
CB-1112,Starter,65987,,2026-05-02,88.6,4,5,63.5,Renewed,,64795
CB-1114,Starter,53869,,2026-01-05,86.4,3,12,59.9,Renewed,,54551
CB-1122,Growth,231042,,2025-09-13,76.2,2,3,61.5,Renewed,,224249
CB-1124,Enterprise,425519,,2025-06-28,65.7,3,5,52.7,Renewed,,419822
CB-1126,Starter,45720,,2026-05-21,90.4,4,0,67.5,Renewed,,47329
CB-1127,Starter,63277,,2025-12-01,62.0,2,3,53.7,Churned,Price increase at renewal,
CB-1128,Enterprise,486816,,2025-10-10,72.9,3,1,59.1,Renewed,,503261
CB-1130,Enterprise,496827,,2025-12-30,44.6,4,6,38.7,Renewed ,,623876
CB-1133,Growth,146960,,2026-06-03,66.0,8,0,46.9,Renewed ,,161125
CB-1135,Enterprise,476134,,2025-05-13,52.9,5,2,43.9,Renewed,,499151
CB-1139,Growth,220991,,2025-09-10,86.1,4,7,61,Renewed ,,283471
CB-1145,Growth,108000,,2026-03-31,58.1,6,0,46.1,Renewed,,108857
CB-1146,Growth,189864,,2026-05-22,58.5,2,11,47,Renewed,,185147
CB-1149,Starter,53692,,2025-05-09,72.3,4,0,57.6,Renewed,,55367
CB-1152,Enterprise,505740,,2025-11-26,73.2,7,3,50.9,Renewed,,496704
CB-1154,Growth,155167,,2025-10-17,84.5,3,13,58.3,Renewed,,152770
CB-1156,Starter,81234,,2026-04-12,97.4,1,4,74.4,At Risk ,,
CB-1160,Starter,55452,,2025-10-16,49.5,4,0,45,Renewed,,57164
CB-1162,Starter,37917,,2026-02-27,83.8,3,5,62.7,Churned,Champion left the company,
CB-1163,Starter,54117,,2025-06-19,57.3,1,0,54.7,Renewed,,56621
CB-1165,Starter,50984,,2026-06-21,55.7,6,3,43,Renewed,,52132
CB-1168,Starter,69601,,2026-05-11,84.5,3,1,65.5,Renewed,,70042
CB-1170,Starter,54875,,2026-04-20,84.0,2,5,64.6,Churned,Budget cuts,
CB-1174,Starter,86696,,2025-12-23,63.9,0,5,57.2,At Risk ,,
CB-1175,Starter,62244,,2025-07-05,74.0,3,2,59.1,At Risk ,,
CB-1183,Growth,164888,,2026-05-10,38.8,3,13,33.2,Renewed ,,192849
CB-1186,Starter,61664,,2026-06-23,70.9,2,5,57.4,Churned,Poor onboarding experience,
CB-1187,Enterprise,485008,,2025-09-28,74.5,3,0,60.6,Renewed,,498036
CB-1189,Enterprise,563048,,2026-03-27,62.2,3,0,53.8,Renewed,,568296
CB-1194,Enterprise,624133,,2025-12-11,46.6,1,9,43.5,Renewed ,,706929
CB-1198,Enterprise,545774,,2026-01-25,57.2,5,0,47.4,At Risk ,,
CB-1199,Enterprise,675312,,2026-05-06,58.8,4,0,50.1,Renewed ,,857202
CB-1203,Enterprise,632726,,2025-11-30,70.6,4,1,56.1,Renewed,,652210
CB-1204,Starter,88855,,2025-04-14,93.3,3,9,65.5,Renewed,,89874
CB-1205,Enterprise,463270,,2026-02-26,41.5,3,3,40.6,Renewed,,483438
CB-1206,Starter,40978,,2025-11-16,61.0,2,1,54.3,Churned,Low product adoption / usage,
CB-1208,Starter,66101,,2025-11-03,82.4,2,8,61.9,Renewed,,64345
CB-1212,Growth,182795,,2026-01-29,50.4,2,6,45.5,Renewed ,,244381
CB-1216,Starter,71026,,2025-11-15,68.0,8,0,48,Renewed,,69978
CB-1217,Starter,73049,,2025-11-06,72.5,2,0,61.3,Renewed,,73730
CB-1220,Enterprise,610943,,2026-04-28,71.0,4,14,48.5,Renewed,,595639
CB-1224,Enterprise,465583,,2026-04-17,51.0,6,0,42.3,Renewed ,,541953
CB-1226,Starter,56000,,2025-05-19,75.1,6,1,54.9,Renewed,,54437
CB-1229,Starter,64268,,2025-10-14,59.0,4,2,49.1,Renewed,,62872
CB-1230,Enterprise,341115,,2025-11-26,63.7,5,0,51.1,Renewed,,340605
CB-1238,Starter,55614,,2025-04-27,67.2,4,2,53.6,Renewed,,57033
CB-1242,Growth,184910,,2026-03-01,68.1,3,0,57.1,Renewed,,192904
CB-1248,Growth,184478,,2026-06-23,83.7,7,14,50.1,Renewed,,189255
CB-1253,Starter,61788,,2026-03-15,73.3,2,0,61.7,Renewed,,60274
CB-1254,Starter,57334,,2026-03-05,73.8,7,11,46.4,Renewed,,56988
CB-1257,Starter,44143,,2025-10-13,56.5,2,1,51.8,Churned,Poor onboarding experience,
CB-1258,Growth,193618,,2025-08-15,69.2,2,1,58.9,At Risk ,,
