client_id,company_name,industry,region,company_size,plan_type,sales_rep,csm_assigned,contract_signed_date,onboarding_start_date,onboarding_complete_date,days_to_onboard,onboarding_status,sla_met_14_days,onboarding_csat,contract_quarter,implementation_manager,implementation_priority,kickoff_date,go_live_date,delay_reason,integration_required,integration_type,customer_segment,go_live_status,implementation_risk
CB-1000,Vertex Solutions,Manufacturing,Chennai,Small (1-50),Starter,K. Joshi,S. Reddy,14-Feb-2026,15-Feb-2026,10-Mar-2026,23,Completed,No,3,2026-Q1,Priya Nair,Low,2026-02-15 0:00:00,2026-03-10 0:00:00,Technical Issue,Yes,API,Enterprise,Completed,Low
CB-1001,Apex Group,Retail & E-commerce,Hyderabad,Small (1-50),Starter,A. Mehta,J. Pillai,07-Aug-2025,09-Aug-2025,31-Aug-2025,22,Completed,No,4.1,2025-Q3,Priya Nair,High,2025-08-09 0:00:00,2025-08-31 0:00:00,Customer Delay,No,None,Enterprise,Completed,Medium
CB-1002,Harborlight Group,Professional Services,Ahmedabad,Small (1-50),Enterprise,S. Kapoor,N. Verma,28-Mar-2026,29-Mar-2026,09-May-2026,41,Completed,No,4,2026-Q1,Karan Mehta,High,2026-03-29 0:00:00,2026-05-09 0:00:00,Technical Issue,No,None,SMB,Completed,High
CB-1003,Northbridge Industries,Retail & E-commerce,Mumbai,Small (1-50),Growth,S. Kapoor,N. Verma,06-Jan-2026,09-Jan-2026,04-Feb-2026,26,Completed,No,2.8,2026-Q1,Priya Nair,High,2026-01-09 0:00:00,2026-02-04 0:00:00,Missing Documents,Yes,CRM,Mid-Market,Completed,Low
CB-1004,Driftwood Networks,Real Estate,Ahmedabad,Large (251+),Enterprise,P. Nair,M. Khan,27-Sep-2024,29-Sep-2024,20-Oct-2024,21,Completed,No,3.9,2024-Q3,Priya Nair,High,2024-09-29 0:00:00,2024-10-20 0:00:00,Integration Delay,No,None,Enterprise,Completed,Medium
CB-1005,Granite Pvt Ltd,FinTech,Ahmedabad,Mid (51-250),Growth,K. Joshi,M. Khan,21-May-2026,23-May-2026,19-Jun-2026,27,Completed,No,2.7,2026-Q2,Amit Singh,Low,2026-05-23 0:00:00,2026-06-19 0:00:00,Technical Issue,Yes,None,Mid-Market,Completed,Medium
CB-1006,Stratos Systems,Logistics & Supply Chain,Pune,Small (1-50),Starter,V. Shah,T. D'Souza,08-Feb-2026,09-Feb-2026,03-Mar-2026,22,Completed,No,4.6,2026-Q1,Priya Nair,High,2026-02-09 0:00:00,2026-03-03 0:00:00,Resource Constraint,Yes,ERP,Mid-Market,Completed,Low
CB-1007,Highline Enterprises,Hospitality,Chennai,Small (1-50),Starter,S. Kapoor,S. Reddy,20-Feb-2026,23-Feb-2026,18-Mar-2026,23,Completed,No,3.6,2026-Q1,Neha Patel,Medium,2026-02-23 0:00:00,2026-03-18 0:00:00,Scope Change,No,None,Enterprise,Completed,Low
CB-1008,Coral Enterprises,Retail & E-commerce,Bangalore,Small (1-50),Growth,P. Nair,M. Khan,11-Nov-2024,14-Nov-2024,30-Nov-2024,16,Completed,No,5,2024-Q4,Neha Patel,Low,2024-11-14 0:00:00,2024-11-30 0:00:00,Missing Documents,No,None,Mid-Market,Completed,High
CB-1009,Meridian Group,Retail & E-commerce,Delhi NCR,Large (251+),Starter,K. Joshi,N. Verma,14-Aug-2025,17-Aug-2025,10-Sep-2025,24,Completed,No,3.5,2025-Q3,Karan Mehta,Low,2025-08-17 0:00:00,2025-09-10 0:00:00,Customer Delay,No,None,SMB,Completed,High
CB-1010,Foxglove Ventures,Retail & E-commerce,Pune,Small (1-50),Growth,P. Nair,M. Khan,21-Jun-2025,22-Jun-2025,10-Jul-2025,18,Completed,No,2.6,2025-Q2,Priya Nair,High,2025-06-22 0:00:00,2025-07-10 0:00:00,Resource Constraint,Yes,HRMS,Mid-Market,Completed,Low
CB-1011,Ironwood Enterprises,FinTech,Chennai,Mid (51-250),Growth,V. Shah,T. D'Souza,29-Apr-2026,01-May-2026,25-May-2026,24,Completed,No,2.8,2026-Q2,Amit Singh,Medium,2026-05-01 0:00:00,2026-05-25 0:00:00,Technical Issue,No,None,Enterprise,Completed,High
CB-1012,Westgate Technologies,FinTech,Hyderabad,Mid (51-250),Starter,R. Iyer,M. Khan,08-Dec-2025,11-Dec-2025,04-Jan-2026,24,Completed,No,4,2025-Q4,Amit Singh,Low,2025-12-11 0:00:00,2026-01-04 0:00:00,Customer Delay,No,None,Mid-Market,Completed,Low
CB-1013,Larkspur Labs,EdTech,Delhi NCR,Small (1-50),Starter,R. Iyer,N. Verma,11-Mar-2026,14-Mar-2026,01-Apr-2026,18,Completed,No,4.7,2026-Q1,Karan Mehta,High,2026-03-14 0:00:00,2026-04-01 0:00:00,Integration Delay,Yes,ERP,Enterprise,Completed,Low
